sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
1425,5,"every",24,29,"DT","DT",1,"everi"
1425,6,"bough",29,34,"NN","NN",1,"bough"
1425,7,",",34,35,",",",",3,","
1426,0,"And",0,3,"CC","CC",5,"And"
1426,1,"sweets",3,9,"NNS","NN",3,"sweet"
1426,2,"grown",9,14,"VBN","VB",3,"grown"
1426,3,"common",14,20,"JJ","JJ",1,"common"
1426,4,"lose",20,24,"VBP","VB",4,"lose"
1426,5,"their",24,29,"PRP$","WP",3,"their"
1426,6,"dear",29,33,"RB","RB",2,"dear"
1426,7,"delight",33,40,"NN","NN",3,"delight"
1426,8,".",40,41,".",".",5,"."
1427,0,"Therefore",0,9,"RB","RB",1,"Therefor"
1427,1,"like",9,13,"IN","IN",2,"like"
1427,2,"her",13,16,"PRP","WP",1,"her"
1427,3,",",16,17,",",",",3,","
1427,4,"I",17,18,"PRP","WP",2,"I"
1427,5,"sometime",18,26,"RB","RB",2,"sometim"
1427,6,"hold",26,30,"VBP","VB",2,"hold"
1427,7,"my",30,32,"PRP$","WP",1,"my"
1427,8,"tongue",32,38,"NN","NN",1,"tongu"
1427,9,":",38,39,":",":",3,":"
1428,0,"Because",0,7,"IN","IN",6,"Becaus"
1428,1,"I",7,8,"PRP","WP",4,"I"
1428,2,"would",8,13,"MD","MD",4,"would"
1428,3,"not",13,16,"RB","RB",4,"not"
1428,4,"dull",16,20,"VB","VB",3,"dull"
1428,5,"you",20,23,"PRP","WP",2,"you"
1428,6,"with",23,27,"IN","IN",2,"with"
1428,7,"my",27,29,"PRP$","WP",1,"my"
1428,8,"song",29,33,"NN","NN",1,"song"
1428,9,".",33,34,".",".",7,"."
1429,0,"Alack",0,5,"NNP","NN",6,"Alack"
1429,1,"!",5,6,"VBZ","VB",6,"!"
1429,2,"what",6,10,"WP","WP",4,"what"
1429,3,"poverty",10,17,"NN","NN",4,"poverti"
1429,4,"my",17,19,"PRP$","WP",2,"my"
1429,5,"Muse",19,23,"NN","NN",2,"Muse"
1429,6,"brings",23,29,"VBZ","VB",2,"bring"
1429,7,"forth",29,34,"RB","RB",1,"forth"
1429,8,",",34,35,",",",",7,","
1430,0,"That",0,4,"DT","DT",5,"That"
1430,1,"having",4,10,"VBG","VB",5,"have"
1430,2,"such",10,14,"PDT","PDT",3,"such"
1430,3,"a",14,15,"DT","DT",3,"a"
1430,4,"scope",15,20,"NN","NN",3,"scope"
1430,5,"to",20,22,"TO","TO",3,"to"
1430,6,"show",22,26,"VB","VB",2,"show"
1430,7,"her",26,29,"PRP$","WP",1,"her"
1430,8,"pride",29,34,"NN","NN",1,"pride"
1430,9,",",34,35,",",",",7,","
1431,0,"The",0,3,"DT","DT",2,"The"
1431,1,"argument",3,11,"NN","NN",2,"argument"
1431,2,",",11,12,",",",",3,","
1431,3,"all",12,15,"RB","RB",2,"all"
1431,4,"bare",15,19,"JJ","JJ",2,"bare"
1431,5,",",19,20,",",",",3,","
1431,6,"is",20,22,"VBZ","VB",3,"is"
1431,7,"of",22,24,"RB","RB",1,"of"
1431,8,"more",24,28,"RBR","RB",1,"more"
1431,9,"worth",28,33,"JJ","JJ",2,"worth"
1432,0,"Than",0,4,"JJ","JJ",4,"Than"
1432,1,"when",4,8,"WRB","RB",3,"when"
1432,2,"it",8,10,"PRP","WP",2,"it"
1432,3,"hath",10,14,"VBP","VB",2,"hath"
1432,4,"my",14,16,"PRP$","WP",1,"my"
1432,5,"added",16,21,"VBN","VB",1,"ad"
1432,6,"praise",21,27,"NN","NN",1,"prais"
1432,7,"beside",27,33,"IN","IN",1,"besid"
1432,8,"!",33,34,".",".",5,"!"
1433,0,"O",0,1,"NNP","NN",3,"O"
1433,1,"!",1,2,"NNP","NN",3,"!"
1433,2,"blame",2,7,"VBP","VB",3,"blame"
1433,3,"me",7,9,"PRP","WP",2,"me"
1433,4,"not",9,12,"RB","RB",5,"not"
1433,5,",",12,13,",",",",5,","
1433,6,"if",13,15,"IN","IN",4,"if"
1433,7,"I",15,16,"PRP","WP",2,"I"
1433,8,"no",16,18,"DT","DT",2,"no"
1433,9,"more",18,22,"RBR","RB",2,"more"
1433,10,"can",22,25,"MD","MD",2,"can"
1433,11,"write",25,30,"VB","VB",1,"write"
1433,12,"!",30,31,".",".",5,"!"
1434,0,"Look",0,4,"VB","VB",3,"Look"
1434,1,"in",4,6,"IN","IN",2,"in"
1434,2,"your",6,10,"PRP$","WP",1,"your"
1434,3,"glass",10,15,"NN","NN",1,"glass"
1434,4,",",15,16,",",",",4,","
1434,5,"and",16,19,"CC","CC",4,"and"
1434,6,"there",19,24,"RB","RB",2,"there"
1434,7,"appears",24,31,"VBZ","VB",3,"appear"
1434,8,"a",31,32,"DT","DT",2,"a"
