sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
143,1,"that",3,7,"DT","DT",3,"that"
143,2,"fresh",7,12,"JJ","JJ",3,"fresh"
143,3,"blood",12,17,"NN","NN",3,"blood"
143,4,"which",17,22,"WDT","WDT",2,"which"
143,5,"youngly",22,29,"VBP","VB",1,"youngli"
143,6,"thou",29,33,"RB","RB",4,"thou"
143,7,"bestow",33,39,"VBD","VB",4,"bestow"
143,8,"`",39,40,"``","``",4,"`"
143,9,"st",40,42,"NN","NN",3,"st"
143,10,",",42,43,",",",",5,","
144,0,"Thou",0,4,"PRP","WP",6,"Thou"
144,1,"mayst",4,9,"VBP","VB",6,"mayst"
144,2,"call",9,13,"NN","NN",5,"call"
144,3,"thine",13,18,"NNS","NN",5,"thine"
144,4,"when",18,22,"WRB","RB",4,"when"
144,5,"thou",22,26,"VBN","VB",3,"thou"
144,6,"from",26,30,"IN","IN",2,"from"
144,7,"youth",30,35,"NN","NN",1,"youth"
144,8,"convertest",35,45,"NN","NN",1,"convertest"
144,9,",",45,46,",",",",7,","
145,0,"Herein",0,6,"NNP","NN",2,"Herein"
145,1,"lives",6,11,"VBZ","VB",2,"live"
145,2,"wisdom",11,17,"NN","NN",1,"wisdom"
145,3,",",17,18,",",",",1,","
145,4,"beauty",18,24,"NN","NN",1,"beauti"
145,5,",",24,25,",",",",1,","
145,6,"and",25,28,"CC","CC",1,"and"
145,7,"increase",28,36,"NN","NN",1,"increas"
145,8,";",36,37,":",":",3,";"
146,0,"Without",0,7,"IN","IN",3,"Without"
146,1,"this",7,11,"DT","DT",1,"thi"
146,2,"folly",11,16,"NN","NN",1,"folli"
146,3,",",16,17,",",",",2,","
146,4,"age",17,20,"NN","NN",1,"ag"
146,5,",",20,21,",",",",2,","
146,6,"and",21,24,"CC","CC",2,"and"
146,7,"cold",24,28,"JJ","JJ",1,"cold"
146,8,"decay",28,33,"NN","NN",1,"decai"
146,9,":",33,34,":",":",3,":"
147,0,"If",0,2,"IN","IN",5,"If"
147,1,"all",2,5,"DT","DT",3,"all"
147,2,"were",5,9,"VBD","VB",3,"were"
147,3,"minded",9,15,"VBN","VB",2,"mind"
147,4,"so",15,17,"RB","RB",1,"so"
147,5,",",17,18,",",",",6,","
147,6,"the",18,21,"DT","DT",5,"the"
147,7,"times",21,26,"NNS","NN",5,"time"
147,8,"should",26,32,"MD","MD",5,"should"
147,9,"cease",32,37,"VB","VB",4,"ceas"
148,0,"And",0,3,"CC","CC",4,"And"
148,1,"threescore",3,13,"JJ","JJ",3,"threescor"
148,2,"year",13,17,"NN","NN",3,"year"
148,3,"would",17,22,"MD","MD",3,"would"
148,4,"make",22,26,"VB","VB",2,"make"
